full_name,height_inches,reach_inches,stance
Tom Aaron,,,
Danny Abbadi,71.0,,Orthodox
Nariman Abbasov,68.0,66.0,Orthodox
Darion Abbey,74.0,80.0,Orthodox
David Abbott,72.0,,Switch
Hamdy Abdelwahab,74.0,72.0,Southpaw
Mansur Abdul-Malik,74.0,80.0,Orthodox
Shamil Abdurakhimov,75.0,76.0,Orthodox
Hiroyuki Abe,66.0,,Orthodox
Daichi Abe,71.0,71.0,Orthodox
Papy Abedi,71.0,,Southpaw
Ricardo Abreu,71.0,,Orthodox
Klidson Abreu,72.0,74.0,Orthodox
Cyborg Abreu,,,
Daniel Acacio,68.0,,Orthodox
John Adajar,69.0,75.0,Orthodox
Scott Adams,72.0,,Southpaw
Juan Adams,77.0,80.0,Orthodox
Anthony Adams,73.0,76.0,Orthodox
Zarrukh Adashev,65.0,65.0,Southpaw
Israel Adesanya,76.0,80.0,Switch
Sam Adkins,75.0,,Orthodox
Mohamed Ado,71.0,76.0,Switch
Nick Agallar,68.0,,Orthodox
Mariya Agapova,66.0,68.0,Southpaw
Kantharaj Agasa,,,
Marcelo Aguiar,70.0,,Orthodox
Fabio Aguiar,72.0,,
Edwin Aguilar,70.0,,
Jessica Aguilar,63.0,63.0,Orthodox
Kevin Aguilar,67.0,73.0,Orthodox
Jesus Aguilar,64.0,62.0,Orthodox
Christian Aguilera,69.0,72.0,Switch
Nick Aguirre,69.0,74.0,Southpaw
 Agulali,69.0,67.0,Switch
Ahejiang Ailinuer,,,
Mike Aina,69.0,,Orthodox
Ashiek Ajim,68.0,71.0,Switch
Hitomi Akano,64.0,,Southpaw
Omari Akhmedov,72.0,73.0,Orthodox
Yoshihiro Akiyama,70.0,75.0,Orthodox
Rostem Akman,70.0,72.0,Switch
Razak Al-Hassan,74.0,,Orthodox
Abdul-Kareem Al-Selwady,68.0,69.0,Orthodox
Mostapha Al-Turk,74.0,77.0,Orthodox
Herdem Alacabek,74.0,75.0,Orthodox
Javi Alanis,66.0,,
 Alatengheili,65.0,66.0,Orthodox
Amir Albazi,65.0,68.0,Orthodox
Brett Albee,,,
John Albert,68.0,68.0,Orthodox
Junior Albini,75.0,74.0,Orthodox
Wes Albritton,70.0,,Orthodox
Aleksandra Albu,62.0,63.0,Orthodox
Israel Albuquerque,,,Orthodox
Juan Alcain,,,
Iuri Alcantara,69.0,71.0,Southpaw
Ildemar Alcantara,74.0,78.0,Orthodox
Alfonso Alcarez,63.0,,
Gilbert Aldana,73.0,,Orthodox
Irene Aldana,69.0,68.0,Orthodox
Hector Aldana,71.0,72.0,Orthodox
Jose Alday,67.0,68.0,Orthodox
Jose Aldo,67.0,70.0,Orthodox
JJ Aldrich,65.0,67.0,Southpaw
Irina Alekseeva,68.0,67.0,Orthodox
Talita Alencar,61.0,58.0,Orthodox
Jim Alers,69.0,71.0,Orthodox
John Alessio,70.0,72.0,Orthodox
Houston Alexander,72.0,72.0,Orthodox
Kenneth Alexander,69.0,,Orthodox
Lucas Alexander,71.0,73.0,Orthodox
Marcio Alexandre Junior,72.0,75.0,Southpaw
Olaf Alfonso,74.0,,Orthodox
Pablo Alfonso,68.0,,
Levi Alford,,,
Bill Algeo,72.0,73.0,Switch
Royce Alger,70.0,,Orthodox
Amir Aliakbari,75.0,,
Sultan Aliev,71.0,74.0,Orthodox
Nurullo Aliev,70.0,72.0,Orthodox
Ikram Aliskerov,72.0,76.0,Southpaw
Leon Aliu,72.0,74.0,Orthodox
John Allan,73.0,75.0,Orthodox
George Allen,74.0,,Open Stance
Arnold Allen,68.0,70.0,Southpaw
Brendan Allen,74.0,75.0,Orthodox
Daniel Allen,72.0,75.0,Southpaw
Ben Alloway,71.0,76.0,Orthodox
Asu Almabayev,64.0,65.0,Orthodox
Bekzat Almakhan,67.0,68.0,Orthodox
John Dave Almanza,67.0,67.0,Southpaw
Ricardo Almeida,72.0,74.0,Orthodox
Magno Almeida,72.0,,
Thomas Almeida,67.0,70.0,Southpaw
Ericka Almeida,66.0,,Orthodox
Estefani Almeida,64.0,,Orthodox
Jailton Almeida,75.0,79.0,Orthodox
Lucas Almeida,71.0,71.0,Orthodox
Cesar Almeida,73.0,74.0,Orthodox
Mauricio Alonso,74.0,,
Sarah Alpar,64.0,63.0,Southpaw
Ali AlQaisi,66.0,68.0,Orthodox
Rico Altamirano,70.0,,
Victor Altamirano,68.0,70.0,Switch
Mike Altman,70.0,,Orthodox
Patricia Alujas,64.0,64.0,Orthodox
Sean Alvarez,72.0,,Orthodox
Eddie Alvarez,69.0,69.0,Orthodox
Jaime Alvarez,68.0,69.0,Orthodox
Joel Alvarez,75.0,77.0,Orthodox
Thiago Alves,69.0,70.0,Orthodox
Anthony Alves,,,
Amilcar Alves,72.0,,Southpaw
Warlley Alves,71.0,72.0,Orthodox
Rafael Alves,68.0,68.0,Orthodox
Sam Alvey,74.0,75.0,Southpaw
Christopher Alvidrez,72.0,74.0,Orthodox
Mahamed Aly,74.0,78.0,Orthodox
Andre Amado,72.0,,Orthodox
Adlan Amagov,74.0,76.0,Orthodox
Maiara Amanajas dos Santos,65.0,,Southpaw
Chris Amarante,,,
Jimmy Ambriz,74.0,,Southpaw
JJ Ambrose,70.0,,Orthodox
Alen Amedovski,70.0,74.0,Orthodox
Hyder Amil,69.0,70.0,Switch
Hamid Amiri,,,
Makwan Amirkhani,70.0,72.0,Southpaw
Jaqueline Amorim,63.0,68.0,Orthodox
Bertrand Amoussou,68.0,,Orthodox
Karl Amoussou,71.0,,Orthodox
Eryk Anders,73.0,75.0,Southpaw
Matt Andersen,74.0,,Southpaw
Andy Anderson,66.0,,
Lowell Anderson,66.0,,Orthodox
Corey Anderson,75.0,79.0,Orthodox
Derek Anderson,72.0,,
Megan Anderson,72.0,72.0,Orthodox
Liam Anderson,75.0,75.0,Orthodox
Tatsuya Ando,64.0,68.0,Southpaw
Alex Andrade,71.0,,Orthodox
Jessica Andrade,61.0,62.0,Orthodox
Viscardi Andrade,71.0,75.0,Orthodox
Jermaine Andre,67.0,,Orthodox
Fellipe Andrew,,,
Dylan Andrews,73.0,74.0,Switch
Reese Andy,72.0,,Orthodox
 Angga,67.0,68.0,Orthodox
Julius Anglickas,75.0,,Orthodox
Collin Anglin,69.0,71.0,Orthodox
Chad Anheliger,66.0,64.0,Orthodox
Yoji Anjo,71.0,,Orthodox
Magomed Ankalaev,75.0,75.0,Orthodox
Gadzhimurad Antigulov,71.0,70.0,Orthodox
