Fighter,Final ELO,Peak ELO
Jon Jones,1872.09,1872.09
Georges St-Pierre,1817.35,1817.35
Islam Makhachev,1816.79,1816.79
Belal Muhammad,1763.29,1763.29
Khabib Nurmagomedov,1761.97,1761.97
Charles Oliveira,1752.61,1777.89
Francis Ngannou,1744.09,1744.09
Max Holloway,1736.42,1767.08
Amanda Nunes,1727.26,1734.14
Leon Edwards,1723.9,1743.94
Dustin Poirier,1714.99,1766.16
Kamaru Usman,1712.97,1793.93
Demetrious Johnson,1709.78,1737.68
Merab Dvalishvili,1707.0,1707.0
Valentina Shevchenko,1703.39,1703.73
Aljamain Sterling,1702.69,1744.3
Dricus Du Plessis,1702.33,1702.33
Stipe Miocic,1702.21,1743.98
Alex Pereira,1700.22,1700.22
Alexander Volkanovski,1699.72,1756.22
Ilia Topuria,1698.77,1698.77
Magomed Ankalaev,1696.13,1696.13
Ciryl Gane,1696.01,1696.01
Khamzat Chimaev,1695.09,1695.09
Royce Gracie,1691.83,1719.08
Alexandre Pantoja,1690.73,1690.73
Robert Whittaker,1687.31,1721.92
Daniel Cormier,1687.11,1732.32
Shavkat Rakhmonov,1683.14,1683.14
Sean O'Malley,1682.71,1704.81
Movsar Evloev,1679.79,1679.79
Jon Fitch,1678.0,1722.23
Tom Aspinall,1677.35,1677.35
Vicente Luque,1674.77,1722.79
Ryan Bader,1674.71,1674.71
Brendan Allen,1672.33,1698.46
Arman Tsarukyan,1672.03,1672.03
Sean Strickland,1671.02,1676.36
Israel Adesanya,1669.75,1734.65
Cain Velasquez,1668.88,1705.4
Glover Teixeira,1668.78,1729.93
Curtis Blaydes,1668.54,1704.67
Grant Dawson,1667.8,1667.8
Joaquin Buckley,1667.21,1667.21
Arnold Allen,1665.57,1686.43
TJ Dillashaw,1664.85,1698.31
Jack Della Maddalena,1663.04,1663.04
Deiveson Figueiredo,1661.2,1686.23
Alexander Volkov,1660.6,1680.9
Beneil Dariush,1660.32,1710.65
Zhang Weili,1659.67,1659.67
Gegard Mousasi,1659.52,1659.52
Lerone Murphy,1657.77,1657.77
Don Frye,1656.48,1656.48
Anthony Johnson,1656.39,1682.34
Jailton Almeida,1656.14,1656.14
Demian Maia,1653.39,1731.72
Cory Sandhagen,1652.49,1676.25
