Fighter,Final ELO,Peak ELO
Jon Jones,1868.0,1868.0
Islam Makhachev,1836.49,1836.49
Georges St-Pierre,1823.54,1823.54
Khabib Nurmagomedov,1767.06,1767.06
Max Holloway,1760.78,1774.61
Francis Ngannou,1752.7,1752.7
Merab Dvalishvili,1748.37,1748.37
Charles Oliveira,1747.31,1782.1
Kamaru Usman,1737.69,1800.53
Ilia Topuria,1733.81,1733.81
Amanda Nunes,1731.02,1739.76
Valentina Shevchenko,1725.87,1725.87
Khamzat Chimaev,1723.9,1723.9
Demetrious Johnson,1722.71,1751.15
Aljamain Sterling,1720.47,1749.15
Alexander Volkanovski,1719.07,1760.8
Alex Pereira,1716.18,1716.18
Alexandre Pantoja,1711.87,1711.87
Stipe Miocic,1709.19,1753.73
Dricus Du Plessis,1704.41,1725.74
Daniel Cormier,1703.44,1750.98
Belal Muhammad,1702.13,1750.35
Ciryl Gane,1701.0,1701.0
Arman Tsarukyan,1699.93,1699.93
Magomed Ankalaev,1696.82,1724.39
Dustin Poirier,1694.29,1763.54
Brendan Allen,1689.74,1700.37
Shavkat Rakhmonov,1689.29,1689.29
Ian Machado Garry,1686.02,1686.02
Grant Dawson,1685.96,1685.96
Alexander Volkov,1685.24,1685.82
Tom Aspinall,1683.71,1683.71
Nassourdine Imavov,1681.27,1681.27
Leon Edwards,1681.0,1766.97
Jack Della Maddalena,1680.64,1693.48
Movsar Evloev,1680.38,1680.38
Carlos Ulberg,1679.61,1679.61
Lerone Murphy,1678.82,1678.82
Ryan Bader,1676.35,1676.35
Curtis Blaydes,1675.79,1700.33
Michael Morales,1675.6,1675.6
Glover Teixeira,1675.53,1737.78
Anthony Hernandez,1674.52,1674.52
Deiveson Figueiredo,1673.27,1704.75
Cain Velasquez,1672.4,1711.2
Arnold Allen,1668.35,1689.12
TJ Dillashaw,1668.32,1704.18
Cory Sandhagen,1666.97,1684.29
Justin Gaethje,1665.89,1668.8
Jon Fitch,1664.76,1708.68
Petr Yan,1664.14,1664.14
Zhang Weili,1663.56,1682.11
Robert Whittaker,1662.91,1723.53
Gegard Mousasi,1662.0,1662.0
Song Yadong,1661.55,1664.42
Anthony Johnson,1659.63,1686.72
Erin Blanchfield,1659.4,1659.4
Beneil Dariush,1658.28,1724.3
Demian Maia,1656.8,1736.98
Manon Fiorot,1655.44,1655.44
Sean Strickland,1655.43,1678.6
Joaquin Buckley,1655.1,1672.35
Neil Magny,1654.88,1689.15
Benson Henderson,1654.33,1660.71
Paddy Pimblett,1652.29,1652.29
Sean O'Malley,1651.86,1695.9
Colby Covington,1651.66,1696.03
Brandon Moreno,1651.28,1664.74
Carlos Prates,1650.58,1650.58
Tatiana Suarez,1650.57,1651.49
Michael Bisping,1650.03,1697.2
Sean Brady,1647.68,1674.53
Joel Alvarez,1647.22,1647.22
John Lineker,1645.95,1671.41
Francisco Trinaldo,1645.84,1668.9
Israel Adesanya,1645.66,1740.56
Conor McGregor,1645.13,1687.01
Derrick Lewis,1644.57,1704.94
Sergei Pavlovich,1644.17,1648.09
Michael Chiesa,1643.86,1654.67
Maycee Barber,1643.59,1643.59
Yair Rodriguez,1643.1,1678.65
Umar Nurmagomedov,1642.47,1642.47
Rose Namajunas,1641.33,1651.64
Jailton Almeida,1640.77,1660.48
Steve Garcia,1639.5,1639.5
Benoit Saint Denis,1639.5,1639.5
Natalia Silva,1639.43,1639.43
Muhammad Mokaev,1639.05,1639.05
Norma Dumont,1638.42,1638.42
Royce Gracie,1637.88,1664.99
Waldo Cortes Acosta,1637.02,1637.02
Mario Bautista,1636.36,1658.55
Azamat Murzakanov,1636.21,1636.21
Fabricio Werdum,1635.58,1667.59
Henry Cejudo,1634.48,1694.86
Dong Hyun Kim,1634.42,1657.41
Gregor Gillespie,1633.35,1633.35
Kenny Florian,1632.9,1669.16
Jan Blachowicz,1632.38,1678.64
Kyoji Horiguchi,1632.15,1632.15
Jiri Prochazka,1631.67,1631.67
Yoel Romero,1631.25,1694.59
Raquel Pennington,1631.07,1654.54
Randy Brown,1630.83,1662.68
Aiemann Zahabi,1630.83,1630.83
Lyoto Machida,1630.57,1670.73
Bryan Battle,1629.74,1629.74
Montel Jackson,1629.44,1649.19
Nate Diaz,1629.36,1642.0
Diego Lopes,1629.24,1629.24
TJ Grant,1629.08,1629.08
Matt Hughes,1628.34,1718.14
Gabriel Bonfim,1628.0,1628.0
Daniel Rodriguez,1627.47,1629.98
Rustam Khabilov,1627.31,1635.9
Gregory Rodrigues,1627.2,1627.2
Rinat Fakhretdinov,1627.17,1627.17
Gillian Robertson,1626.3,1626.3
Tatsuro Taira,1625.13,1625.13
Derek Brunson,1624.9,1685.32
Vicente Luque,1624.79,1729.9
Caio Borralho,1624.44,1643.35
Drakkar Klose,1624.43,1632.51
Renato Moicano,1624.32,1657.46
Zabit Magomedsharipov,1623.16,1623.16
Nathaniel Wood,1622.97,1622.97
Mateusz Gamrot,1622.26,1643.8
Joshua Van,1621.65,1621.65
Dan Hooker,1619.86,1652.72
Joe Pyfer,1618.82,1618.82
Zak Cummings,1618.66,1618.66
Marlon Vera,1617.98,1684.32
Joseph Benavidez,1617.87,1701.43
Mackenzie Dern,1616.45,1616.45
Roman Dolidze,1615.63,1639.88
Phil Davis,1615.52,1641.02
Youssef Zalal,1615.42,1615.42
James Krause,1614.07,1619.68
Tyron Woodley,1613.33,1700.07
Randy Couture,1613.19,1653.04
Alistair Overeem,1612.61,1640.27
Anthony Pettis,1612.45,1622.06
Mike Malott,1611.9,1611.9
Pat Sabatini,1611.69,1611.69
Raoni Barcelos,1611.12,1611.12
Jose Aldo,1610.08,1663.54
Gilbert Burns,1609.22,1705.25
Brian Ortega,1609.21,1664.62
Chris Gutierrez,1608.82,1631.64
Virna Jandiroba,1608.01,1630.06
Rory MacDonald,1608.0,1652.59
Jake Matthews,1605.81,1630.89
Mairbek Taisumov,1605.2,1626.74
Farid Basharat,1605.09,1605.09
Robbie Lawler,1604.7,1686.0
Anderson Silva,1604.39,1797.79
Josh Barnett,1603.9,1609.68
Jim Miller,1603.78,1673.98
Jonathan Martinez,1602.85,1647.17
Rob Font,1602.79,1641.23
Dominick Reyes,1602.44,1635.95
Cristiane Justino,1602.34,1606.43
Chas Skelly,1601.85,1601.85
Jasmine Jasudavicius,1601.81,1626.51
Rich Franklin,1601.23,1671.09
Jared Cannonier,1601.11,1650.34
Ricardo Lamas,1600.98,1639.67
Rick Story,1600.53,1618.19
Fares Ziam,1600.17,1600.17
Gunnar Nelson,1599.91,1624.51
Thiago Silva,1599.48,1599.48
Bryce Mitchell,1599.26,1617.18
Rafael Dos Anjos,1598.86,1712.91
Jorge Masvidal,1598.05,1663.74
Tim Sylvia,1597.88,1633.24
Ludovit Klein,1597.67,1598.3
Jean Silva,1597.46,1623.99
Giga Chikadze,1597.28,1643.26
Asu Almabayev,1596.87,1596.87
Christian Leroy Duncan,1596.4,1596.4
Dominick Cruz,1596.18,1617.99
Forrest Griffin,1596.02,1606.82
Anthony Rocco Martin,1595.7,1613.71
Shane Burgos,1595.56,1602.16
Martin Buday,1594.25,1594.25
Marcin Tybura,1594.18,1628.0
Elias Theodorou,1594.09,1615.8
Alexander Hernandez,1593.72,1593.72
Chad Mendes,1593.38,1637.77
Chuck Liddell,1593.31,1738.9
Erik Perez,1593.03,1593.03
Vinicius Oliveira,1592.92,1592.92
Matt Lindland,1592.56,1593.88
Germaine de Randamie,1592.56,1614.62
Nazim Sadykhov,1592.53,1592.53
Denise Gomes,1592.26,1592.26
Jacqueline Cavalcanti,1592.03,1592.03
Michel Prazeres,1591.94,1651.62
Volkan Oezdemir,1591.67,1591.67
Mark Kerr,1591.55,1591.55
Manel Kape,1591.5,1591.5
Reinier de Ridder,1591.09,1612.04
Urijah Faber,1590.96,1623.53
Corey Anderson,1590.71,1616.55
Daniel Marcos,1590.7,1590.7
Geoff Neal,1590.68,1634.63
Brandon Royval,1590.33,1610.89
Paulo Costa,1590.2,1620.34
Josh Emmett,1589.96,1657.51
Yan Xiaonan,1589.9,1609.89
Nasrat Haqparast,1589.33,1619.65
Paul Felder,1588.98,1626.42
Frankie Edgar,1588.79,1716.37
Jairzinho Rozenstruik,1588.56,1613.71
Ikram Aliskerov,1588.44,1588.44
Rashid Magomedov,1588.03,1588.03
Julianna Pena,1587.58,1617.16
Chan Sung Jung,1586.9,1620.31
Edmen Shahbazyan,1586.88,1592.91
Amanda Lemos,1586.43,1613.97
Muslim Salikhov,1586.3,1616.54
Martin Kampmann,1586.05,1636.57
Amir Albazi,1585.93,1605.17
Sean Sherk,1585.93,1586.58
Tabatha Ricci,1585.91,1585.91
Rafael Fiziev,1585.25,1624.92
Cub Swanson,1585.2,1641.14
Junior Dos Santos,1584.85,1698.79
John Hathaway,1584.64,1608.76
Ricky Simon,1584.48,1638.11
Chris Padilla,1584.48,1584.48
Bo Nickal,1584.47,1585.83
Karine Silva,1584.24,1590.4
Yushin Okami,1584.11,1661.54
JunYong Park,1583.66,1605.94
Alan Belcher,1583.65,1622.64
Thales Leites,1583.14,1651.91
Matt Hamill,1582.98,1641.46
Katlyn Cerminara,1582.63,1623.52
Alexa Grasso,1582.56,1618.35
Kayla Harrison,1582.32,1582.32
Ignacio Bahamondes,1582.23,1604.62
Omari Akhmedov,1582.05,1602.24
David Teymur,1582.0,1605.87
Sean Woodson,1581.81,1610.26
Kelvin Gastelum,1581.78,1663.19
Bogdan Guskov,1581.32,1581.32
Rousimar Palhares,1581.26,1608.16
Chepe Mariscal,1581.22,1601.84
Miranda Maverick,1581.17,1599.86
Chris Duncan,1581.12,1581.12
Vitor Belfort,1581.04,1644.96
Jordan Johnson,1581.01,1581.01
Uriah Hall,1580.94,1620.06
Marcos Rogerio de Lima,1580.9,1583.27
Rani Yahya,1580.6,1640.52
Myktybek Orolbai,1580.45,1580.45
Ronda Rousey,1580.44,1637.0
Loopy Godinez,1580.4,1583.82
Dustin Jacoby,1579.74,1593.23
Khalil Rountree Jr.,1579.71,1604.55
Roger Huerta,1579.59,1619.26
Raul Rosas Jr.,1579.44,1579.44
Mike Pierce,1579.27,1632.24
William Gomis,1579.19,1584.93
Chase Hooper,1579.11,1609.28
Carla Esparza,1578.84,1630.11
Ryan Hall,1578.83,1590.2
Shara Magomedov,1578.54,1587.06
Quinton Jackson,1578.19,1627.24
Thiago Santos,1577.41,1662.72
