event,event_date,fighter_1,fighter_2,result,method,round,time
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Nassourdine Imavov,Israel Adesanya,win,"KO/TKO

      

        Punch",2,0:30
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Michael Page,Shara Magomedov,win,U-DEC,3,5:00
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Sergei Pavlovich,Jairzinho Rozenstruik,win,U-DEC,3,5:00
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Vinicius Oliveira,Said Nurmagomedov,win,U-DEC,3,5:00
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Fares Ziam,Mike Davis,win,U-DEC,3,5:00
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Muhammad Naimov,Kaan Ofli,win,U-DEC,3,5:00
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Shamil Gaziev,Thomas Petersen,win,"KO/TKO

      

        Punch",1,3:12
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Terrance McKinney,Damir Hadzovic,win,"KO/TKO

      

        Punches",1,2:01
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Jasmine Jasudavicius,Mayra Bueno Silva,win,U-DEC,3,5:00
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Bogdan Grad,Lucas Alexander,win,"KO/TKO

      

        Punches",2,4:22
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,Hamdy Abdelwahab,Jamal Pogues,win,S-DEC,3,5:00
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Mackenzie Dern,Amanda Ribas,win,"SUB

      

        Armbar",3,4:56
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Santiago Ponzinibbio,Carlston Harris,win,"KO/TKO

      

        Punches",3,3:13
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Cesar Almeida,Abdul Razak Alhassan,win,"KO/TKO

      

        Punch",1,4:16
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Roman Kopylov,Chris Curtis,win,"KO/TKO

      

        Kick",3,4:59
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Christian Rodriguez,Austin Bashi,win,U-DEC,3,5:00
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Punahele Soriano,Uros Medic,win,"KO/TKO

      

        Punch",1,0:31
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Felipe Bunes,Jose Johnson,win,"SUB

      

        Armbar",1,2:04
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Marco Tulio,Ihor Potieria,win,"KO/TKO

      

        Punches",1,3:04
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Thiago Moises,Trey Ogden,win,U-DEC,3,5:00
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Jacobe Smith,Preston Parsons,win,"KO/TKO

      

        Punch",1,1:13
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Ernesta Kareckaite,Nicolle Caliari,win,S-DEC,3,5:00
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Bruno Lopes,Magomed Gadzhiyasulov,win,U-DEC,3,5:00
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Fatima Kline,Viktoriia Dudakova,win,"KO/TKO

      

        Elbows",2,4:27
UFC Fight Night: Dern vs. Ribas 2,2025-01-11,Nurullo Aliev,Joe Solecki,win,U-DEC,3,5:00
UFC 311: Makhachev vs. Moicano,2025-01-18,Islam Makhachev,Renato Moicano,win,"SUB

      

        D'Arce Choke",1,4:05
UFC 311: Makhachev vs. Moicano,2025-01-18,Merab Dvalishvili,Umar Nurmagomedov,win,U-DEC,5,5:00
UFC 311: Makhachev vs. Moicano,2025-01-18,Jiri Prochazka,Jamahal Hill,win,"KO/TKO

      

        Punches",3,3:01
UFC 311: Makhachev vs. Moicano,2025-01-18,Jailton Almeida,Serghei Spivac,win,"KO/TKO

      

        Punches",1,4:53
UFC 311: Makhachev vs. Moicano,2025-01-18,Reinier de Ridder,Kevin Holland,win,"SUB

      

        Rear Naked Choke",1,3:31
UFC 311: Makhachev vs. Moicano,2025-01-18,Raoni Barcelos,Payton Talbott,win,U-DEC,3,5:00
UFC 311: Makhachev vs. Moicano,2025-01-18,Azamat Bekoev,Zachary Reese,win,"KO/TKO

      

        Punches",1,3:04
UFC 311: Makhachev vs. Moicano,2025-01-18,Bogdan Guskov,Billy Elekana,win,"SUB

      

        Guillotine Choke",2,3:33
UFC 311: Makhachev vs. Moicano,2025-01-18,Grant Dawson,Diego Ferreira,win,U-DEC,3,5:00
UFC 311: Makhachev vs. Moicano,2025-01-18,Ailin Perez,Karol Rosa,win,U-DEC,3,5:00
UFC 311: Makhachev vs. Moicano,2025-01-18,Muin Gafurov,Rinya Nakamura,win,U-DEC,3,5:00
UFC 311: Makhachev vs. Moicano,2025-01-18,Benardo Sopaj,Ricky Turcios,win,U-DEC,3,5:00
UFC 311: Makhachev vs. Moicano,2025-01-18,Tagir Ulanbekov,Clayton Carpenter,win,U-DEC,3,5:00
UFC 310: Pantoja vs. Asakura,2024-12-07,Alexandre Pantoja,Kai Asakura,win,"SUB

      

        Rear Naked Choke",2,2:05
UFC 310: Pantoja vs. Asakura,2024-12-07,Shavkat Rakhmonov,Ian Machado Garry,win,U-DEC,5,5:00
UFC 310: Pantoja vs. Asakura,2024-12-07,Ciryl Gane,Alexander Volkov,win,S-DEC,3,5:00
UFC 310: Pantoja vs. Asakura,2024-12-07,Bryce Mitchell,Kron Gracie,win,"KO/TKO

      

        Elbows",3,0:39
UFC 310: Pantoja vs. Asakura,2024-12-07,Dooho Choi,Nate Landwehr,win,"KO/TKO

      

        Elbows",3,3:21
UFC 310: Pantoja vs. Asakura,2024-12-07,Dominick Reyes,Anthony Smith,win,"KO/TKO

      

        Punches",2,4:46
UFC 310: Pantoja vs. Asakura,2024-12-07,Vicente Luque,Themba Gorimbo,win,"SUB

      

        Anaconda Choke",1,0:52
UFC 310: Pantoja vs. Asakura,2024-12-07,Movsar Evloev,Aljamain Sterling,win,U-DEC,3,5:00
UFC 310: Pantoja vs. Asakura,2024-12-07,Bryan Battle,Randy Brown,win,S-DEC,3,5:00
UFC 310: Pantoja vs. Asakura,2024-12-07,Eryk Anders,Chris Weidman,win,"KO/TKO

      

        Punches",2,4:51
UFC 310: Pantoja vs. Asakura,2024-12-07,Joshua Van,Cody Durden,win,U-DEC,3,5:00
UFC 310: Pantoja vs. Asakura,2024-12-07,Michael Chiesa,Max Griffin,win,"SUB

      

        Rear Naked Choke",3,1:56
UFC 310: Pantoja vs. Asakura,2024-12-07,Chase Hooper,Clay Guida,win,"SUB

      

        Armbar",1,3:41
UFC 310: Pantoja vs. Asakura,2024-12-07,Kennedy Nzechukwu,Lukasz Brzeski,win,"KO/TKO

      

        Punch",1,4:51
UFC Fight Night: Covington vs. Buckley,2024-12-14,Joaquin Buckley,Colby Covington,win,KO/TKO,3,4:42
UFC Fight Night: Covington vs. Buckley,2024-12-14,Cub Swanson,Billy Quarantillo,win,"KO/TKO

      

        Punch",3,1:36
UFC Fight Night: Covington vs. Buckley,2024-12-14,Manel Kape,Bruno Silva,win,"KO/TKO

      

        Punches",3,1:57
UFC Fight Night: Covington vs. Buckley,2024-12-14,Dustin Jacoby,Vitor Petrino,win,"KO/TKO

      

        Punch",3,3:44
UFC Fight Night: Covington vs. Buckley,2024-12-14,Daniel Marcos,Adrian Yanez,win,S-DEC,3,5:00
UFC Fight Night: Covington vs. Buckley,2024-12-14,Navajo Stirling,Tuco Tokkos,win,U-DEC,3,5:00
