event,event_date,fighter_1,fighter_2,result,f1_kd,f1_sig_str_attempted,f1_sig_str_landed,f1_sub_att,f1_td_attempted,f1_td_landed,f1_total_str_attempted,f1_total_str_landed,f2_kd,f2_sig_str_attempted,f2_sig_str_landed,f2_sub_att,f2_td_attempted,f2_td_landed,f2_total_str_attempted,f2_total_str_landed,method,round,time
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Gabriel Bonfim,Randy Brown,win,1,64,35,0,0,0,64,35,0,87,33,0,0,0,87,33,"KO/TKO

      

        Knee",2,1:40
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Joseph Morales,Matt Schnell,win,0,11,4,0,1,1,12,5,0,11,5,1,0,0,18,12,"SUB

      

        Guillotine Choke",1,2:54
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Uros Medic,Muslim Salikhov,win,0,5,2,0,0,0,5,2,1,13,8,0,0,0,14,9,"KO/TKO

      

        Punch",1,1:03
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Chris Padilla,Ismael Bonfim,win,0,109,64,0,0,0,134,88,0,84,42,0,3,1,89,47,"KO/TKO

      

        Punches",2,4:30
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Christian Leroy Duncan,Marco Tulio,win,1,46,23,0,1,1,66,40,0,57,27,0,5,2,75,42,"KO/TKO

      

        Punch",2,3:20
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Jamall Emmers,Hyder Amil,win,0,125,47,0,1,0,164,80,0,101,50,1,8,7,141,83,U-DEC,3,5:00
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Raoni Barcelos,Ricky Simon,win,0,181,67,0,6,0,191,77,0,187,82,0,8,1,194,86,U-DEC,3,5:00
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Jacqueline Cavalcanti,Mayra Bueno Silva,win,0,97,39,0,4,0,107,46,0,164,80,0,0,0,172,87,U-DEC,3,5:00
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Josh Hokit,Max Gimenis,win,2,17,9,0,0,0,19,11,0,7,3,0,0,0,7,3,"KO/TKO

      

        Punches",1,0:56
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Denise Gomes,Tecia Pennington,win,0,125,58,0,2,1,144,73,0,138,53,0,10,3,169,75,U-DEC,3,5:00
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Daniel Marcos,Miles Johns,win,0,54,28,0,1,0,61,33,0,47,27,1,4,3,69,42,"SUB

      

        Rear Naked Choke",2,4:23
UFC Fight Night: Bonfim vs. Brown,2025-11-08,Zach Reese,Jackson McVey,win,0,42,32,1,3,3,97,81,0,73,56,0,0,0,86,68,"SUB

      

        Rear Naked Choke",2,1:38
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Islam Makhachev,Jack Della Maddalena,win,0,61,18,0,1,0,74,30,0,57,30,0,4,4,188,140,U-DEC,5,5:00
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Valentina Shevchenko,Zhang Weili,win,0,68,41,0,6,5,186,137,0,98,32,0,1,0,161,80,U-DEC,5,5:00
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Michael Morales,Sean Brady,win,0,22,8,0,1,0,22,8,1,52,24,0,0,0,52,24,"KO/TKO

      

        Punches",1,3:27
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Carlos Prates,Leon Edwards,win,0,17,12,0,3,2,30,25,1,32,21,0,0,0,35,24,"KO/TKO

      

        Punch",2,1:28
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Benoit Saint Denis,Beneil Dariush,win,0,5,3,0,0,0,5,3,1,5,3,0,0,0,5,3,"KO/TKO

      

        Punch",1,0:16
