event,fighter_1,fighter_2,result,method,round,time,fighter_1_elo_start,fighter_2_elo_start,fighter_1_elo_end,fighter_2_elo_end
UFC 1: The Beginning,Gerard Gordeau,Teila Tuli,win,KO/TKO,1,0:26,1500.0,1500.0,1525.0,1475.0
UFC 1: The Beginning,Kevin Rosier,Zane Frazier,win,KO/TKO,1,4:20,1500.0,1500.0,1525.0,1475.0
UFC 1: The Beginning,Royce Gracie,Art Jimmerson,win,SUB,1,2:18,1500.0,1500.0,1525.0,1475.0
UFC 1: The Beginning,Ken Shamrock,Patrick Smith,win,SUB,1,1:49,1500.0,1500.0,1525.0,1475.0
UFC 1: The Beginning,Gerard Gordeau,Kevin Rosier,win,KO/TKO,1,0:59,1525.0,1525.0,1550.0,1500.0
UFC 1: The Beginning,Royce Gracie,Ken Shamrock,win,SUB,1,0:57,1525.0,1525.0,1550.0,1500.0
UFC 1: The Beginning,Jason DeLucia,Trent Jenkins,win,SUB,1,0:52,1500.0,1500.0,1525.0,1475.0
UFC 1: The Beginning,Royce Gracie,Gerard Gordeau,win,SUB,1,1:44,1550.0,1550.0,1575.0,1525.0
UFC 2: No Way Out,Scott Morris,Sean Daugherty,win,SUB,1,0:20,1500.0,1500.0,1525.0,1475.0
UFC 2: No Way Out,Patrick Smith,Ray Wizard,win,SUB,1,0:58,1475.0,1500.0,1501.8,1473.2
UFC 2: No Way Out,Johnny Rhodes,David Levicki,win,KO/TKO,1,12:13,1500.0,1500.0,1525.0,1475.0
UFC 2: No Way Out,Frank Hamaker,Thaddeus Luster,win,SUB,1,4:52,1500.0,1500.0,1525.0,1475.0
UFC 2: No Way Out,Orlando Wiet,Robert Lucarelli,win,KO/TKO,1,2:50,1500.0,1500.0,1525.0,1475.0
UFC 2: No Way Out,Remco Pardoel,Alberta Cerra Leon,win,SUB,1,9:51,1500.0,1500.0,1525.0,1475.0
UFC 2: No Way Out,Jason DeLucia,Scott Baker,win,SUB,1,6:41,1525.0,1500.0,1548.2,1476.8
UFC 2: No Way Out,Royce Gracie,Minoki Ichihara,win,SUB,1,5:08,1575.0,1500.0,1594.69,1480.31
UFC 2: No Way Out,Patrick Smith,Scott Morris,win,KO/TKO,1,0:30,1501.8,1525.0,1528.47,1498.33
UFC 2: No Way Out,Johnny Rhodes,Fred Ettish,win,SUB,1,3:07,1525.0,1500.0,1548.2,1476.8
UFC 2: No Way Out,Remco Pardoel,Orlando Wiet,win,KO/TKO,1,1:29,1525.0,1525.0,1550.0,1500.0
UFC 2: No Way Out,Royce Gracie,Jason DeLucia,win,SUB,1,1:07,1594.69,1548.2,1616.36,1526.53
UFC 2: No Way Out,Patrick Smith,Johnny Rhodes,win,SUB,1,1:07,1528.47,1548.2,1554.89,1521.78
UFC 2: No Way Out,Royce Gracie,Remco Pardoel,win,SUB,1,1:31,1616.36,1550.0,1636.64,1529.72
UFC 2: No Way Out,Royce Gracie,Patrick Smith,win,KO/TKO,1,1:17,1636.64,1554.89,1655.86,1535.67
UFC 3: The American Dream,Keith Hackney,Emmanuel Yarborough,win,KO/TKO,1,1:59,1500.0,1500.0,1525.0,1475.0
UFC 3: The American Dream,Ken Shamrock,Christophe Leninger,win,KO/TKO,1,4:49,1500.0,1500.0,1525.0,1475.0
UFC 3: The American Dream,Harold Howard,Roland Payne,win,KO/TKO,1,0:46,1500.0,1500.0,1525.0,1475.0
UFC 3: The American Dream,Royce Gracie,Kimo Leopoldo,win,SUB,1,4:40,1655.86,1500.0,1670.34,1485.52
UFC 3: The American Dream,Ken Shamrock,Felix Lee Mitchell,win,SUB,1,4:34,1525.0,1500.0,1548.2,1476.8
UFC 3: The American Dream,Steve Jennum,Harold Howard,win,KO/TKO,1,1:27,1500.0,1525.0,1526.8,1498.2
UFC 4: Revenge of the Warriors,Joe Charles,Kevin Rosier,win,SUB,1,0:14,1500.0,1500.0,1525.0,1475.0
UFC 4: Revenge of the Warriors,Marcus Bossett,Eldo Xavier Dias,win,KO/TKO,1,4:55,1500.0,1500.0,1525.0,1475.0
UFC 4: Revenge of the Warriors,Guy Mezger,Jason Fairn,win,KO/TKO,1,2:13,1500.0,1500.0,1525.0,1475.0
UFC 4: Revenge of the Warriors,Royce Gracie,Ron van Clief,win,SUB,1,3:49,1670.34,1500.0,1683.98,1486.36
UFC 4: Revenge of the Warriors,Keith Hackney,Joe Son,win,SUB,1,2:44,1525.0,1500.0,1548.2,1476.8
UFC 4: Revenge of the Warriors,Steve Jennum,Melton Bowen,win,SUB,1,4:47,1526.8,1500.0,1549.88,1476.92
UFC 4: Revenge of the Warriors,Dan Severn,Anthony Macias,win,SUB,1,1:45,1500.0,1500.0,1525.0,1475.0
UFC 4: Revenge of the Warriors,Royce Gracie,Keith Hackney,win,SUB,1,5:32,1683.98,1548.2,1699.68,1532.5
UFC 4: Revenge of the Warriors,Dan Severn,Marcus Bossett,win,SUB,1,0:52,1525.0,1525.0,1550.0,1500.0
